,components,smiles,cas,"Temperature, K","Pressure, kPa","Mass density, kg/m3",Relative permittivity at zero frequency,"Mass density, kg/m3_std",Relative permittivity at zero frequency_std
2294,ethanol,C(C)O,121182-78-3,298.0,101.325,785.1,22.8,0.07851,1.2084
2295,ethanol,C(C)O,121182-78-3,298.2,101.325,785.6997598039219,24.35,0.3377379958677686,0.03
2299,ethanol,C(C)O,121182-78-3,303.2,101.325,781.2996451612905,23.735,0.13851891224489787,0.050804999999999996
2301,ethanol,C(C)O,121182-78-3,308.2,101.325,776.8358793103447,22.87,0.21534638809523804,0.03
2323,"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,293.2,101.325,913.31,11.76,0.02,0.02
2324,"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,298.2,101.325,908.19,11.5,0.02,0.02
2325,"ethanol, 2-propoxy-",C(CC)OCCO,83855-85-0,303.2,101.325,903.11,11.19,0.02,0.02
2493,ethylene glycol,C(CO)O,37221-95-7,303.2,101.325,1106.1345789473683,39.84,0.14090000000000003,0.11952
2524,formamide,C(=O)N,23296-41-5,303.2,101.325,1124.874,106.14,0.2575,0.31842
2569,glycerol,OCC(O)CO,8043-29-6,303.2,101.325,1255.00825,41.17,0.13333333333333333,0.12351
2579,heptane,CCCCCCC,142-82-5,288.2,101.325,688.1446153846155,1.94,0.037,0.0194
2584,heptane,CCCCCCC,142-82-5,298.2,101.325,679.991626506024,1.93,0.2987173913043479,0.0193
2589,heptane,CCCCCCC,142-82-5,308.2,101.325,671.0220869565218,1.92,0.04916666666666668,0.0192
2847,methanol,CO,54841-71-3,288.2,101.325,796.0156190476191,34.62,0.02375,0.03
2850,methanol,CO,54841-71-3,293.2,101.325,791.2908076923076,33.6,0.08432008648648641,0.03
2853,methanol,CO,54841-71-3,298.0,101.325,787.0,33.1,,
2854,methanol,CO,54841-71-3,298.2,101.325,787.0938571428572,32.6,0.4107878897435896,0.03
2857,methanol,CO,54841-71-3,303.2,101.325,782.0282321428574,31.65,0.1447655044444444,0.03
2859,methanol,CO,54841-71-3,308.2,101.325,777.0474583333333,30.72,0.20761464871794866,0.03
2991,methyl sulfoxide,C[S](=O)C,164071-41-4,293.2,101.325,1099.801230769231,47.09,0.10566666666666664,0.05
3000,methyl sulfoxide,C[S](=O)C,164071-41-4,303.2,101.325,1090.7659310344827,45.94,0.054007083333333344,0.05
3006,methyl sulfoxide,C[S](=O)C,164071-41-4,313.2,101.325,1080.600210526316,44.64,0.0461838888888889,0.05
3012,methyl sulfoxide,C[S](=O)C,164071-41-4,323.2,101.325,1070.2986666666666,43.31,0.03000714285714286,0.05
3038,methylaniline,CNC1=CC=CC=C1,100-61-8,300.2,101.325,979.8,5.878,,
3073,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,278.2,101.325,913.925,5.761,,
3074,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,280.6,101.325,911.466,5.705,,
3075,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,283.2,101.325,908.991,5.651,,
3076,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,285.6,101.325,906.513,5.591,,
3077,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,288.2,101.325,903.7453333333333,5.531,,
3078,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,290.6,101.325,901.556,5.468,,
3079,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,293.2,101.325,898.924,5.418,,
3080,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,295.6,101.325,896.585,5.364,,
3081,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,298.2,101.325,894.0709999999999,5.31,,
3082,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,300.6,101.325,891.605,5.264,,
3083,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,303.2,101.325,889.25275,5.205,,
3084,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,305.6,101.325,886.611,5.141,,
3085,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,308.2,101.325,884.42775,5.076,,
3086,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,310.6,101.325,881.608,5.015,,
3087,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,313.2,101.325,879.44925,4.961,,
3088,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,315.6,101.325,876.582,4.901,,
3089,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,318.2,101.325,874.7556666666666,4.841,,
3090,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,320.6,101.325,871.546,4.784,,
3091,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,323.2,101.325,869.019,4.725,,
3092,n-butyl acrylate,C(C=C)(=O)OCCCC,126492-54-4,325.6,101.325,866.488,4.667,,
